CONJUNTO,r,valor de P
Ph-N,0.636654,1.149
Ph-Dens,-0.5890264,1.062
Ph-P,0.5910303,9.74
Ph-Ca,0.8086293,3.614
Ph-Mg,-0.3957821,0.005361
Ph-K,0.5795727,1.585
Ph-Na,-0.6932614,4.724
